"Month","Local Electoral Area","Age Group","Primary Course Completed (%)","Monthly Percentage Point Change in Primary Course Completed (%)","Booster 1 (%)","Monthly Percentage Point Change in Booster 1 (%)","Booster 2 (%)","Monthly Percentage Point Change in Booster 2 (%)","Booster 3 (%)","Monthly Percentage Point Change in Booster 3 (%)","Booster 4 (%)","Monthly Percentage Point Change in Booster 4 (%)"
"2021 September","Baltinglass, Wicklow","5 - 11 years","","","","","","","","","",""
"2021 September","Baltinglass, Wicklow","12 years and over","87.7","7","1.2","0.1","","","","","",""
"2021 September","Bray West, Wicklow","5 - 11 years","","","","","","","","","",""
"2021 September","Bray West, Wicklow","12 years and over","88","8","0.5","0","","","","","",""
"2021 September","Greystones, Wicklow","5 - 11 years","","","","","","","","","",""
"2021 September","Greystones, Wicklow","12 years and over","95.6","9.3","0.9","0","","","","","",""
"2021 September","Wicklow, Wicklow","5 - 11 years","","","","","","","","","",""
"2021 September","Wicklow, Wicklow","12 years and over","93.1","7.7","0.7","0.1","","","","","",""
"2021 September","Arklow, Wicklow","5 - 11 years","","","","","","","","","",""
"2021 September","Arklow, Wicklow","12 years and over","86.4","7.3","0.8","0.2","","","","","",""
"2021 September","Bray East, Wicklow","5 - 11 years","","","","","","","","","",""
"2021 September","Bray East, Wicklow","12 years and over","89.5","6.7","0.4","0","","","","","",""
"2021 September","Rush-Lusk, Fingal","5 - 11 years","","","","","","","","","",""
"2021 September","Rush-Lusk, Fingal","12 years and over","88.7","10.3","0.5","0.1","","","","","",""
"2021 September","Swords, Fingal","5 - 11 years","","","","","","","","","",""
"2021 September","Swords, Fingal","12 years and over","82.6","8","0.3","0.1","","","","","",""
"2021 September","Blanchardstown-Mulhuddart, Fingal","5 - 11 years","","","","","","","","","",""
"2021 September","Blanchardstown-Mulhuddart, Fingal","12 years and over","65.4","8.3","0.2","0","","","","","",""
"2021 September","Castleknock, Fingal","5 - 11 years","","","","","","","","","",""
"2021 September","Castleknock, Fingal","12 years and over","85.2","7.7","0.3","0.1","","","","","",""
"2021 September","Howth-Malahide, Fingal","5 - 11 years","","","","","","","","","",""
"2021 September","Howth-Malahide, Fingal","12 years and over","97.8","8.5","0.4","0.1","","","","","",""
"2021 September","Stillorgan, Dún Laoghaire-Rathdown","5 - 11 years","","","","","","","","","",""
"2021 September","Stillorgan, Dún Laoghaire-Rathdown","12 years and over","92.8","6.8","0.4","0.1","","","","","",""
"2021 September","Dundrum, Dún Laoghaire-Rathdown","5 - 11 years","","","","","","","","","",""
"2021 September","Dundrum, Dún Laoghaire-Rathdown","12 years and over","88.3","5.6","0.5","0.2","","","","","",""
"2021 September","Glencullen-Sandyford, Dún Laoghaire-Rathdown","5 - 11 years","","","","","","","","","",""
"2021 September","Glencullen-Sandyford, Dún Laoghaire-Rathdown","12 years and over","82.3","6.5","0.4","0","","","","","",""
"2021 September","Killiney-Shankill, Dún Laoghaire-Rathdown","5 - 11 years","","","","","","","","","",""
"2021 September","Killiney-Shankill, Dún Laoghaire-Rathdown","12 years and over","86","6.3","0.5","0","","","","","",""
"2021 September","Dún Laoghaire, Dún Laoghaire-Rathdown","5 - 11 years","","","","","","","","","",""
"2021 September","Dún Laoghaire, Dún Laoghaire-Rathdown","12 years and over","85","6","0.6","0","","","","","",""
"2021 September","Blackrock, Dún Laoghaire-Rathdown","5 - 11 years","","","","","","","","","",""
"2021 September","Blackrock, Dún Laoghaire-Rathdown","12 years and over","88.2","6","0.4","0","","","","","",""
"2021 September","Lucan, South Dublin","5 - 11 years","","","","","","","","","",""
"2021 September","Lucan, South Dublin","12 years and over","84.2","8.6","0.2","0","","","","","",""
"2021 September","Tallaght Central, South Dublin","5 - 11 years","","","","","","","","","",""
"2021 September","Tallaght Central, South Dublin","12 years and over","82.4","5.2","0.4","0","","","","","",""
"2021 September","Rathfarnham-Templeogue, South Dublin","5 - 11 years","","","","","","","","","",""
"2021 September","Rathfarnham-Templeogue, South Dublin","12 years and over","92.2","6.7","0.4","0.1","","","","","",""
"2021 September","Firhouse-Bohernabreena, South Dublin","5 - 11 years","","","","","","","","","",""
"2021 September","Firhouse-Bohernabreena, South Dublin","12 years and over","93.7","7.7","0.3","0","","","","","",""
"2021 September","Tallaght South, South Dublin","5 - 11 years","","","","","","","","","",""
"2021 September","Tallaght South, South Dublin","12 years and over","71.7","7.8","0.3","0","","","","","",""
"2021 September","Clondalkin, South Dublin","5 - 11 years","","","","","","","","","",""
"2021 September","Clondalkin, South Dublin","12 years and over","80","6.1","0.4","0","","","","","",""
"2021 September","Balbriggan, Fingal","5 - 11 years","","","","","","","","","",""
"2021 September","Balbriggan, Fingal","12 years and over","81.8","9.1","0.4","0","","","","","",""
"2021 September","Ongar, Fingal","5 - 11 years","","","","","","","","","",""
"2021 September","Ongar, Fingal","12 years and over","71.3","9.2","0.2","0","","","","","",""
"2021 September","Palmerstown-Fonthill, South Dublin","5 - 11 years","","","","","","","","","",""
"2021 September","Palmerstown-Fonthill, South Dublin","12 years and over","78.2","6.5","0.5","0","","","","","",""
"2021 September","Ballymun-Finglas, Dublin City","5 - 11 years","","","","","","","","","",""
"2021 September","Ballymun-Finglas, Dublin City","12 years and over","75.9","5.8","0.4","0.1","","","","","",""
"2021 September","Cabra-Glasnevin, Dublin City","5 - 11 years","","","","","","","","","",""
"2021 September","Cabra-Glasnevin, Dublin City","12 years and over","84.2","6.3","0.6","0","","","","","",""
"2021 September","Ballyfermot-Drimnagh, Dublin City","5 - 11 years","","","","","","","","","",""
"2021 September","Ballyfermot-Drimnagh, Dublin City","12 years and over","79.8","5.3","0.4","0","","","","","",""
"2021 September","Kimmage-Rathmines, Dublin City","5 - 11 years","","","","","","","","","",""
"2021 September","Kimmage-Rathmines, Dublin City","12 years and over","91.4","5.9","0.7","0.1","","","","","",""
"2021 September","Pembroke, Dublin City","5 - 11 years","","","","","","","","","",""
"2021 September","Pembroke, Dublin City","12 years and over","94.4","6.1","1","0.1","","","","","",""
"2021 September","South East Inner City, Dublin City","5 - 11 years","","","","","","","","","",""
"2021 September","South East Inner City, Dublin City","12 years and over","82.5","5.5","0.8","0.1","","","","","",""
"2021 September","North Inner City, Dublin City","5 - 11 years","","","","","","","","","",""
"2021 September","North Inner City, Dublin City","12 years and over","70.2","7","0.6","0","","","","","",""
"2021 September","Clontarf, Dublin City","5 - 11 years","","","","","","","","","",""
"2021 September","Clontarf, Dublin City","12 years and over","94","7.2","0.4","0.1","","","","","",""
"2021 September","Donaghmede, Dublin City","5 - 11 years","","","","","","","","","",""
"2021 September","Donaghmede, Dublin City","12 years and over","87.4","7","0.3","0.1","","","","","",""
"2021 September","Artane-Whitehall, Dublin City","5 - 11 years","","","","","","","","","",""
"2021 September","Artane-Whitehall, Dublin City","12 years and over","84.9","6.4","0.5","0.2","","","","","",""
"2021 September","South West Inner City, Dublin City","5 - 11 years","","","","","","","","","",""
"2021 September","South West Inner City, Dublin City","12 years and over","76.6","5.4","0.8","0","","","","","",""
"2021 September","Ennistimon, Clare","5 - 11 years","","","","","","","","","",""
"2021 September","Ennistimon, Clare","12 years and over","91.7","6.3","1.5","0.2","","","","","",""
"2021 September","Killaloe, Clare","5 - 11 years","","","","","","","","","",""
"2021 September","Killaloe, Clare","12 years and over","91.5","7.6","1.3","0.1","","","","","",""
"2021 September","Shannon, Clare","5 - 11 years","","","","","","","","","",""
"2021 September","Shannon, Clare","12 years and over","87.1","6.8","0.7","0.1","","","","","",""
"2021 September","Ennis, Clare","5 - 11 years","","","","","","","","","",""
"2021 September","Ennis, Clare","12 years and over","91.1","7.1","0.8","0","","","","","",""
"2021 September","Kilrush, Clare","5 - 11 years","","","","","","","","","",""
"2021 September","Kilrush, Clare","12 years and over","93.5","7.3","1.8","0.1","","","","","",""
"2021 September","Kanturk, Cork County","5 - 11 years","","","","","","","","","",""
"2021 September","Kanturk, Cork County","12 years and over","93.3","6.1","2","0.2","","","","","",""
"2021 September","Fermoy, Cork County","5 - 11 years","","","","","","","","","",""
"2021 September","Fermoy, Cork County","12 years and over","89.9","6.7","1.1","0","","","","","",""
"2021 September","Midleton, Cork County","5 - 11 years","","","","","","","","","",""
"2021 September","Midleton, Cork County","12 years and over","88","7.4","0.7","0.1","","","","","",""
"2021 September","Carrigaline, Cork County","5 - 11 years","","","","","","","","","",""
"2021 September","Carrigaline, Cork County","12 years and over","96.5","7.5","0.7","0.1","","","","","",""
"2021 September","Cobh, Cork County","5 - 11 years","","","","","","","","","",""
"2021 September","Cobh, Cork County","12 years and over","92.1","7.3","0.8","0.1","","","","","",""
"2021 September","Bandon-Kinsale, Cork County","5 - 11 years","","","","","","","","","",""
"2021 September","Bandon-Kinsale, Cork County","12 years and over","90.5","7","1.1","0.1","","","","","",""
"2021 September","Bantry-West Cork, Cork County","5 - 11 years","","","","","","","","","",""
"2021 September","Bantry-West Cork, Cork County","12 years and over","92.2","5.6","2.3","0.4","","","","","",""
"2021 September","Skibbereen-West Cork, Cork County","5 - 11 years","","","","","","","","","",""
"2021 September","Skibbereen-West Cork, Cork County","12 years and over","90.6","6.6","1.4","0.2","","","","","",""
"2021 September","Macroom, Cork County","5 - 11 years","","","","","","","","","",""
"2021 September","Macroom, Cork County","12 years and over","93","7.4","1.4","0.1","","","","","",""
"2021 September","Mallow, Cork County","5 - 11 years","","","","","","","","","",""
"2021 September","Mallow, Cork County","12 years and over","91","7.1","1.3","0.2","","","","","",""
"2021 September","Cork City North West, Cork City","5 - 11 years","","","","","","","","","",""
"2021 September","Cork City North West, Cork City","12 years and over","90.4","5.6","0.7","0","","","","","",""
"2021 September","Cork City North East, Cork City","5 - 11 years","","","","","","","","","",""
"2021 September","Cork City North East, Cork City","12 years and over","88.1","5.9","0.6","0","","","","","",""
"2021 September","Cork City South East, Cork City","5 - 11 years","","","","","","","","","",""
"2021 September","Cork City South East, Cork City","12 years and over","94.4","6.2","0.5","0","","","","","",""
"2021 September","Cork City South Central, Cork City","5 - 11 years","","","","","","","","","",""
"2021 September","Cork City South Central, Cork City","12 years and over","88.2","4.8","0.5","0","","","","","",""
"2021 September","Cork City South West, Cork City","5 - 11 years","","","","","","","","","",""
"2021 September","Cork City South West, Cork City","12 years and over","88.5","5.5","0.5","0.1","","","","","",""
"2021 September","Glenties, Donegal","5 - 11 years","","","","","","","","","",""
"2021 September","Glenties, Donegal","12 years and over","90.5","4.9","2.5","0.2","","","","","",""
"2021 September","Milford, Donegal","5 - 11 years","","","","","","","","","",""
"2021 September","Milford, Donegal","12 years and over","84.8","5.9","2.1","0","","","","","",""
"2021 September","Carndonagh, Donegal","5 - 11 years","","","","","","","","","",""
"2021 September","Carndonagh, Donegal","12 years and over","67.3","4.7","1.3","0","","","","","",""
"2021 September","Buncrana, Donegal","5 - 11 years","","","","","","","","","",""
"2021 September","Buncrana, Donegal","12 years and over","56.8","4.8","0.9","0","","","","","",""
"2021 September","Donegal, Donegal","5 - 11 years","","","","","","","","","",""
"2021 September","Donegal, Donegal","12 years and over","86.1","6.1","1.6","0","","","","","",""
"2021 September","Letterkenny, Donegal","5 - 11 years","","","","","","","","","",""
"2021 September","Letterkenny, Donegal","12 years and over","83.3","6.3","1","0.1","","","","","",""
"2021 September","Lifford-Stranorlar, Donegal","5 - 11 years","","","","","","","","","",""
"2021 September","Lifford-Stranorlar, Donegal","12 years and over","77.6","5.4","1.8","0.4","","","","","",""
"2021 September","Conamara North, Galway County","5 - 11 years","","","","","","","","","",""
"2021 September","Conamara North, Galway County","12 years and over","90.8","6.9","2.7","0.4","","","","","",""
"2021 September","Tuam, Galway County","5 - 11 years","","","","","","","","","",""
"2021 September","Tuam, Galway County","12 years and over","91.2","8.7","1.2","0","","","","","",""
"2021 September","Ballinasloe, Galway County","5 - 11 years","","","","","","","","","",""
"2021 September","Ballinasloe, Galway County","12 years and over","91.2","6.6","1.4","0.1","","","","","",""
"2021 September","Loughrea, Galway County","5 - 11 years","","","","","","","","","",""
"2021 September","Loughrea, Galway County","12 years and over","91.4","8.2","1.9","0.5","","","","","",""
"2021 September","Athenry-Oranmore, Galway County","5 - 11 years","","","","","","","","","",""
"2021 September","Athenry-Oranmore, Galway County","12 years and over","90.1","8.6","1.1","0.1","","","","","",""
"2021 September","Gort-Kinvara, Galway County","5 - 11 years","","","","","","","","","",""
"2021 September","Gort-Kinvara, Galway County","12 years and over","94.8","9.8","1.3","0.1","","","","","",""
"2021 September","Conamara South, Galway County","5 - 11 years","","","","","","","","","",""
"2021 September","Conamara South, Galway County","12 years and over","94.3","7.3","2.2","0.1","","","","","",""
"2021 September","Galway City West, Galway City","5 - 11 years","","","","","","","","","",""
"2021 September","Galway City West, Galway City","12 years and over","89.6","7.1","0.7","0.1","","","","","",""
"2021 September","Galway City Central, Galway City","5 - 11 years","","","","","","","","","",""
"2021 September","Galway City Central, Galway City","12 years and over","88.3","6.3","0.6","0.1","","","","","",""
"2021 September","Galway City East, Galway City","5 - 11 years","","","","","","","","","",""
"2021 September","Galway City East, Galway City","12 years and over","81.4","7.1","0.5","0.1","","","","","",""
"2021 September","Listowel, Kerry","5 - 11 years","","","","","","","","","",""
"2021 September","Listowel, Kerry","12 years and over","92","5.6","1.9","0.2","","","","","",""
"2021 September","Castleisland, Kerry","5 - 11 years","","","","","","","","","",""
"2021 September","Castleisland, Kerry","12 years and over","92.4","6.8","1.9","0","","","","","",""
"2021 September","Killarney, Kerry","5 - 11 years","","","","","","","","","",""
"2021 September","Killarney, Kerry","12 years and over","80.5","6.8","1","0","","","","","",""
"2021 September","Kenmare, Kerry","5 - 11 years","","","","","","","","","",""
"2021 September","Kenmare, Kerry","12 years and over","92.7","7.6","1.7","0","","","","","",""
"2021 September","Corca Dhuibhne, Kerry","5 - 11 years","","","","","","","","","",""
"2021 September","Corca Dhuibhne, Kerry","12 years and over","90.1","6","2","0.3","","","","","",""
"2021 September","Tralee, Kerry","5 - 11 years","","","","","","","","","",""
"2021 September","Tralee, Kerry","12 years and over","89.1","6.2","0.9","0","","","","","",""
"2021 September","Maynooth, Kildare","5 - 11 years","","","","","","","","","",""
"2021 September","Maynooth, Kildare","12 years and over","85.5","7","0.5","0","","","","","",""
"2021 September","Celbridge, Kildare","5 - 11 years","","","","","","","","","",""
"2021 September","Celbridge, Kildare","12 years and over","89.4","7.3","0.5","0","","","","","",""
"2021 September","Naas, Kildare","5 - 11 years","","","","","","","","","",""
"2021 September","Naas, Kildare","12 years and over","96.2","7.6","0.6","0","","","","","",""
"2021 September","Athy, Kildare","5 - 11 years","","","","","","","","","",""
"2021 September","Athy, Kildare","12 years and over","88.3","7","0.9","0","","","","","",""
"2021 September","Kildare, Kildare","5 - 11 years","","","","","","","","","",""
"2021 September","Kildare, Kildare","12 years and over","90.8","7.9","0.9","0.1","","","","","",""
"2021 September","Clane, Kildare","5 - 11 years","","","","","","","","","",""
"2021 September","Clane, Kildare","12 years and over","89.1","8.1","1.1","0","","","","","",""
"2021 September","Leixlip, Kildare","5 - 11 years","","","","","","","","","",""
"2021 September","Leixlip, Kildare","12 years and over","87.8","6.6","0.4","0","","","","","",""
"2021 September","Newbridge, Kildare","5 - 11 years","","","","","","","","","",""
"2021 September","Newbridge, Kildare","12 years and over","86.6","7.5","0.5","0","","","","","",""
"2021 September","Castlecomer, Kilkenny","5 - 11 years","","","","","","","","","",""
"2021 September","Castlecomer, Kilkenny","12 years and over","93.5","7.7","1.3","0.1","","","","","",""
"2021 September","Kilkenny, Kilkenny","5 - 11 years","","","","","","","","","",""
"2021 September","Kilkenny, Kilkenny","12 years and over","84.1","6","0.7","0.1","","","","","",""
"2021 September","Piltown, Kilkenny","5 - 11 years","","","","","","","","","",""
"2021 September","Piltown, Kilkenny","12 years and over","87.5","6","1.2","0","","","","","",""
"2021 September","Callan-Thomastown, Kilkenny","5 - 11 years","","","","","","","","","",""
"2021 September","Callan-Thomastown, Kilkenny","12 years and over","94.1","8","1.3","0.1","","","","","",""
"2021 October","Borris-In-Ossory-Mountmellick, Laois","5 - 11 years","","","","","","","","","",""
"2021 October","Borris-In-Ossory-Mountmellick, Laois","12 years and over","94.5","1.5","4.5","3.1","","","","","",""
"2021 October","Portlaoise, Laois","5 - 11 years","","","","","","","","","",""
"2021 October","Portlaoise, Laois","12 years and over","84.5","1.5","3","2.4","","","","","",""
"2021 October","Graiguecullen -Portarlington, Laois","5 - 11 years","","","","","","","","","",""
"2021 October","Graiguecullen -Portarlington, Laois","12 years and over","91.9","1.4","3.1","1.8","","","","","",""
"2021 October","Carlow, Carlow","5 - 11 years","","","","","","","","","",""
"2021 October","Carlow, Carlow","12 years and over","87.8","1.5","3.6","2.8","","","","","",""
"2021 October","Tullow, Carlow","5 - 11 years","","","","","","","","","",""
"2021 October","Tullow, Carlow","12 years and over","89.4","1.5","3.7","2.5","","","","","",""
"2021 October","Muinebeag, Carlow","5 - 11 years","","","","","","","","","",""
"2021 October","Muinebeag, Carlow","12 years and over","94.5","1.4","4.3","3.1","","","","","",""
"2021 October","Manorhamilton, Leitrim","5 - 11 years","","","","","","","","","",""
"2021 October","Manorhamilton, Leitrim","12 years and over","90.6","1.1","5.2","3.6","","","","","",""
"2021 October","Ballinamore, Leitrim","5 - 11 years","","","","","","","","","",""
"2021 October","Ballinamore, Leitrim","12 years and over","92.2","2.2","6.3","4.2","","","","","",""
"2021 October","Carrick-On-Shannon, Leitrim","5 - 11 years","","","","","","","","","",""
"2021 October","Carrick-On-Shannon, Leitrim","12 years and over","87.7","2.4","4.4","3","","","","","",""
"2021 October","Newcastle West, Limerick","5 - 11 years","","","","","","","","","",""
"2021 October","Newcastle West, Limerick","12 years and over","93.2","1.5","5.6","4.3","","","","","",""
"2021 October","Adare-Rathkeale, Limerick","5 - 11 years","","","","","","","","","",""
"2021 October","Adare-Rathkeale, Limerick","12 years and over","94.6","1.1","5","3.9","","","","","",""
"2021 October","Cappamore-Kilmallock, Limerick","5 - 11 years","","","","","","","","","",""
"2021 October","Cappamore-Kilmallock, Limerick","12 years and over","94.8","1.3","4.5","3.1","","","","","",""
"2021 October","Limerick City West, Limerick","5 - 11 years","","","","","","","","","",""
"2021 October","Limerick City West, Limerick","12 years and over","91.6","1.5","3.1","2.6","","","","","",""
"2021 October","Limerick City North, Limerick","5 - 11 years","","","","","","","","","",""
"2021 October","Limerick City North, Limerick","12 years and over","90.3","1.6","4.9","4.2","","","","","",""
"2021 October","Limerick City East, Limerick","5 - 11 years","","","","","","","","","",""
"2021 October","Limerick City East, Limerick","12 years and over","91.5","1.5","3.5","2.8","","","","","",""
"2021 October","Granard, Longford","5 - 11 years","","","","","","","","","",""
"2021 October","Granard, Longford","12 years and over","91.7","1.8","5.4","3.6","","","","","",""
"2021 October","Ballymahon, Longford","5 - 11 years","","","","","","","","","",""
"2021 October","Ballymahon, Longford","12 years and over","88.7","1.7","3.8","2.7","","","","","",""
"2021 October","Longford, Longford","5 - 11 years","","","","","","","","","",""
"2021 October","Longford, Longford","12 years and over","81.8","1.6","5","3.7","","","","","",""
"2021 October","Dundalk-Carlingford, Louth","5 - 11 years","","","","","","","","","",""
"2021 October","Dundalk-Carlingford, Louth","12 years and over","81.9","2.2","4.3","3.3","","","","","",""
"2021 October","Dundalk South, Louth","5 - 11 years","","","","","","","","","",""
"2021 October","Dundalk South, Louth","12 years and over","87.7","2.1","3.2","2.4","","","","","",""
"2021 October","Ardee, Louth","5 - 11 years","","","","","","","","","",""
"2021 October","Ardee, Louth","12 years and over","88.3","2.6","3.9","2.8","","","","","",""
"2021 October","Drogheda Rural, Louth","5 - 11 years","","","","","","","","","",""
"2021 October","Drogheda Rural, Louth","12 years and over","86","3.1","2.7","1.8","","","","","",""
"2021 October","Drogheda Urban, Louth","5 - 11 years","","","","","","","","","",""
"2021 October","Drogheda Urban, Louth","12 years and over","82.9","2.5","3.7","3.2","","","","","",""
"2021 October","Ballina, Mayo","5 - 11 years","","","","","","","","","",""
"2021 October","Ballina, Mayo","12 years and over","88.3","1.5","5.5","4.5","","","","","",""
"2021 October","Claremorris, Mayo","5 - 11 years","","","","","","","","","",""
"2021 October","Claremorris, Mayo","12 years and over","88.1","1.6","5.7","4.4","","","","","",""
"2021 October","Castlebar, Mayo","5 - 11 years","","","","","","","","","",""
"2021 October","Castlebar, Mayo","12 years and over","90.5","1.7","4.3","3.2","","","","","",""
"2021 October","Belmullet, Mayo","5 - 11 years","","","","","","","","","",""
"2021 October","Belmullet, Mayo","12 years and over","92.6","1.2","8.6","6.4","","","","","",""
"2021 October","Westport, Mayo","5 - 11 years","","","","","","","","","",""
"2021 October","Westport, Mayo","12 years and over","87.8","1.4","4.6","3.6","","","","","",""
"2021 October","Swinford, Mayo","5 - 11 years","","","","","","","","","",""
"2021 October","Swinford, Mayo","12 years and over","93.1","1.4","7.3","5.5","","","","","",""
"2021 October","Kells, Meath","5 - 11 years","","","","","","","","","",""
"2021 October","Kells, Meath","12 years and over","88.3","1.6","3.8","2.6","","","","","",""
"2021 October","Laytown-Bettystown, Meath","5 - 11 years","","","","","","","","","",""
"2021 October","Laytown-Bettystown, Meath","12 years and over","89.6","2.7","2.5","1.8","","","","","",""
"2021 October","Ashbourne, Meath","5 - 11 years","","","","","","","","","",""
"2021 October","Ashbourne, Meath","12 years and over","90.1","1.7","2.4","1.8","","","","","",""
"2021 October","Ratoath, Meath","5 - 11 years","","","","","","","","","",""
"2021 October","Ratoath, Meath","12 years and over","95.4","1.5","2.3","1.8","","","","","",""
"2021 October","Trim, Meath","5 - 11 years","","","","","","","","","",""
"2021 October","Trim, Meath","12 years and over","87.8","1.8","3.4","2.7","","","","","",""
"2021 October","Navan, Meath","5 - 11 years","","","","","","","","","",""
"2021 October","Navan, Meath","12 years and over","84","1.9","1.8","1.4","","","","","",""
"2021 October","Monaghan, Monaghan","5 - 11 years","","","","","","","","","",""
"2021 October","Monaghan, Monaghan","12 years and over","76","1.8","3.5","2.2","","","","","",""
"2021 October","Carrickmacross-Castleblayney, Monaghan","5 - 11 years","","","","","","","","","",""
"2021 October","Carrickmacross-Castleblayney, Monaghan","12 years and over","81","1.8","4","3","","","","","",""
"2021 October","Ballybay-Clones, Monaghan","5 - 11 years","","","","","","","","","",""
"2021 October","Ballybay-Clones, Monaghan","12 years and over","84.7","1.9","4.6","3","","","","","",""
"2021 October","Birr, Offaly","5 - 11 years","","","","","","","","","",""
"2021 October","Birr, Offaly","12 years and over","92.3","1.2","6.2","4.5","","","","","",""
"2021 October","Tullamore, Offaly","5 - 11 years","","","","","","","","","",""
"2021 October","Tullamore, Offaly","12 years and over","89.8","1.1","4","3.1","","","","","",""
"2021 October","Edenderry, Offaly","5 - 11 years","","","","","","","","","",""
"2021 October","Edenderry, Offaly","12 years and over","90.2","1.4","3.8","2.6","","","","","",""
"2021 October","Boyle, Roscommon","5 - 11 years","","","","","","","","","",""
"2021 October","Boyle, Roscommon","12 years and over","90.7","1.9","5.8","4.3","","","","","",""
"2021 October","Roscommon, Roscommon","5 - 11 years","","","","","","","","","",""
"2021 October","Roscommon, Roscommon","12 years and over","90.7","1.1","6.4","4.5","","","","","",""
"2021 October","Athlone, Roscommon","5 - 11 years","","","","","","","","","",""
"2021 October","Athlone, Roscommon","12 years and over","91.4","1.2","4.9","3.9","","","","","",""
"2021 October","Ballymote-Tobercurry, Sligo","5 - 11 years","","","","","","","","","",""
"2021 October","Ballymote-Tobercurry, Sligo","12 years and over","93.4","1.4","6.7","4.7","","","","","",""
"2021 October","Sligo-Drumcliff, Sligo","5 - 11 years","","","","","","","","","",""
"2021 October","Sligo-Drumcliff, Sligo","12 years and over","94.8","1.1","5.6","4","","","","","",""
"2021 October","Sligo-Strandhill, Sligo","5 - 11 years","","","","","","","","","",""
"2021 October","Sligo-Strandhill, Sligo","12 years and over","89","1.3","4.9","4","","","","","",""
"2021 October","Cavan-Belturbet, Cavan","5 - 11 years","","","","","","","","","",""
"2021 October","Cavan-Belturbet, Cavan","12 years and over","80.9","1.9","4","3","","","","","",""
"2021 October","Bailieborough-Cootehill, Cavan","5 - 11 years","","","","","","","","","",""
"2021 October","Bailieborough-Cootehill, Cavan","12 years and over","88.1","2","4.3","3.1","","","","","",""
"2021 October","Ballyjamesduff, Cavan","5 - 11 years","","","","","","","","","",""
"2021 October","Ballyjamesduff, Cavan","12 years and over","88.8","1.8","4","2.8","","","","","",""
"2021 October","Nenagh, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 October","Nenagh, Tipperary","12 years and over","90.5","1.3","4.9","3.9","","","","","",""
"2021 October","Roscrea-Templemore, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 October","Roscrea-Templemore, Tipperary","12 years and over","91","1.8","5.4","4.4","","","","","",""
"2021 October","Carrick-On-Suir, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 October","Carrick-On-Suir, Tipperary","12 years and over","91.8","1.3","5.2","3.7","","","","","",""
"2021 October","Clonmel, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 October","Clonmel, Tipperary","12 years and over","90.8","1.5","4.7","3.8","","","","","",""
"2021 October","Cashel-Tipperary, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 October","Cashel-Tipperary, Tipperary","12 years and over","89.7","1.7","5","3.9","","","","","",""
"2021 October","Newport, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 October","Newport, Tipperary","12 years and over","93.8","1.3","4.1","3.1","","","","","",""
"2021 October","Thurles, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 October","Thurles, Tipperary","12 years and over","89.7","1.3","4.8","3.7","","","","","",""
"2021 October","Cahir, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 October","Cahir, Tipperary","12 years and over","86.6","1.5","5.4","3.8","","","","","",""
"2021 October","Dungarvan, Waterford","5 - 11 years","","","","","","","","","",""
"2021 October","Dungarvan, Waterford","12 years and over","91.8","1.5","4.3","3.5","","","","","",""
"2021 October","Portlaw-Kilmacthomas, Waterford","5 - 11 years","","","","","","","","","",""
"2021 October","Portlaw-Kilmacthomas, Waterford","12 years and over","93.7","1.4","5.1","3.4","","","","","",""
"2021 October","Lismore, Waterford","5 - 11 years","","","","","","","","","",""
"2021 October","Lismore, Waterford","12 years and over","93.7","1.3","5.7","4.3","","","","","",""
"2021 October","Tramore-Waterford City West, Waterford","5 - 11 years","","","","","","","","","",""
"2021 October","Tramore-Waterford City West, Waterford","12 years and over","92.8","1.3","5","4.3","","","","","",""
"2021 October","Waterford City South, Waterford","5 - 11 years","","","","","","","","","",""
"2021 October","Waterford City South, Waterford","12 years and over","91.5","1.6","4.2","3.7","","","","","",""
"2021 October","Waterford City East, Waterford","5 - 11 years","","","","","","","","","",""
"2021 October","Waterford City East, Waterford","12 years and over","91.6","1.2","4.9","4.1","","","","","",""
"2021 October","Athlone, Westmeath","5 - 11 years","","","","","","","","","",""
"2021 October","Athlone, Westmeath","12 years and over","88.5","1.1","4.2","2.8","","","","","",""
"2021 October","Moate, Westmeath","5 - 11 years","","","","","","","","","",""
"2021 October","Moate, Westmeath","12 years and over","95.3","1.6","4.7","3.1","","","","","",""
"2021 October","Kinnegad, Westmeath","5 - 11 years","","","","","","","","","",""
"2021 October","Kinnegad, Westmeath","12 years and over","91.4","2.8","3.9","3","","","","","",""
"2021 October","Mullingar, Westmeath","5 - 11 years","","","","","","","","","",""
"2021 October","Mullingar, Westmeath","12 years and over","85.1","1.9","3.8","3","","","","","",""
"2021 October","Gorey, Wexford","5 - 11 years","","","","","","","","","",""
"2021 October","Gorey, Wexford","12 years and over","91.4","2","3.9","2.8","","","","","",""
"2021 October","Kilmuckridge, Wexford","5 - 11 years","","","","","","","","","",""
"2021 October","Kilmuckridge, Wexford","12 years and over","95.9","1.4","4.8","2.8","","","","","",""
"2021 October","New Ross, Wexford","5 - 11 years","","","","","","","","","",""
