"Month","Local Electoral Area","Age Group","Primary Course Completed (%)","Monthly Percentage Point Change in Primary Course Completed (%)","Booster 1 (%)","Monthly Percentage Point Change in Booster 1 (%)","Booster 2 (%)","Monthly Percentage Point Change in Booster 2 (%)","Booster 3 (%)","Monthly Percentage Point Change in Booster 3 (%)","Booster 4 (%)","Monthly Percentage Point Change in Booster 4 (%)"
"2021 January","Trim, Meath","5 - 11 years","","","","","","","","","",""
"2021 January","Trim, Meath","12 years and over","1.6","0.6","","","","","","","",""
"2021 January","Navan, Meath","5 - 11 years","","","","","","","","","",""
"2021 January","Navan, Meath","12 years and over","1.8","1.2","","","","","","","",""
"2021 January","Monaghan, Monaghan","5 - 11 years","","","","","","","","","",""
"2021 January","Monaghan, Monaghan","12 years and over","1.7","0.2","","","","","","","",""
"2021 January","Carrickmacross-Castleblayney, Monaghan","5 - 11 years","","","","","","","","","",""
"2021 January","Carrickmacross-Castleblayney, Monaghan","12 years and over","2.1","0.4","","","","","","","",""
"2021 January","Ballybay-Clones, Monaghan","5 - 11 years","","","","","","","","","",""
"2021 January","Ballybay-Clones, Monaghan","12 years and over","2.4","0.3","","","","","","","",""
"2021 January","Birr, Offaly","5 - 11 years","","","","","","","","","",""
"2021 January","Birr, Offaly","12 years and over","3.7","1","","","","","","","",""
"2021 January","Tullamore, Offaly","5 - 11 years","","","","","","","","","",""
"2021 January","Tullamore, Offaly","12 years and over","3.7","2.2","","","","","","","",""
"2021 January","Edenderry, Offaly","5 - 11 years","","","","","","","","","",""
"2021 January","Edenderry, Offaly","12 years and over","2.5","0.9","","","","","","","",""
"2021 January","Boyle, Roscommon","5 - 11 years","","","","","","","","","",""
"2021 January","Boyle, Roscommon","12 years and over","3","0.7","","","","","","","",""
"2021 January","Roscommon, Roscommon","5 - 11 years","","","","","","","","","",""
"2021 January","Roscommon, Roscommon","12 years and over","4.1","1.3","","","","","","","",""
"2021 January","Athlone, Roscommon","5 - 11 years","","","","","","","","","",""
"2021 January","Athlone, Roscommon","12 years and over","1.9","0.5","","","","","","","",""
"2021 January","Ballymote-Tobercurry, Sligo","5 - 11 years","","","","","","","","","",""
"2021 January","Ballymote-Tobercurry, Sligo","12 years and over","3.1","0.5","","","","","","","",""
"2021 January","Sligo-Drumcliff, Sligo","5 - 11 years","","","","","","","","","",""
"2021 January","Sligo-Drumcliff, Sligo","12 years and over","3.2","0.9","","","","","","","",""
"2021 January","Sligo-Strandhill, Sligo","5 - 11 years","","","","","","","","","",""
"2021 January","Sligo-Strandhill, Sligo","12 years and over","2.3","0.9","","","","","","","",""
"2021 January","Cavan-Belturbet, Cavan","5 - 11 years","","","","","","","","","",""
"2021 January","Cavan-Belturbet, Cavan","12 years and over","2.3","1","","","","","","","",""
"2021 January","Bailieborough-Cootehill, Cavan","5 - 11 years","","","","","","","","","",""
"2021 January","Bailieborough-Cootehill, Cavan","12 years and over","2.2","0.5","","","","","","","",""
"2021 January","Ballyjamesduff, Cavan","5 - 11 years","","","","","","","","","",""
"2021 January","Ballyjamesduff, Cavan","12 years and over","2.4","0.6","","","","","","","",""
"2021 January","Nenagh, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 January","Nenagh, Tipperary","12 years and over","1.7","0.4","","","","","","","",""
"2021 January","Roscrea-Templemore, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 January","Roscrea-Templemore, Tipperary","12 years and over","2","0.5","","","","","","","",""
"2021 January","Carrick-On-Suir, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 January","Carrick-On-Suir, Tipperary","12 years and over","3.1","0.8","","","","","","","",""
"2021 January","Clonmel, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 January","Clonmel, Tipperary","12 years and over","3.1","1.8","","","","","","","",""
"2021 January","Cashel-Tipperary, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 January","Cashel-Tipperary, Tipperary","12 years and over","2.4","0.8","","","","","","","",""
"2021 January","Newport, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 January","Newport, Tipperary","12 years and over","2","0.7","","","","","","","",""
"2021 January","Thurles, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 January","Thurles, Tipperary","12 years and over","2.6","1.1","","","","","","","",""
"2021 January","Cahir, Tipperary","5 - 11 years","","","","","","","","","",""
"2021 January","Cahir, Tipperary","12 years and over","3.5","1.1","","","","","","","",""
"2021 January","Dungarvan, Waterford","5 - 11 years","","","","","","","","","",""
"2021 January","Dungarvan, Waterford","12 years and over","2.1","0.8","","","","","","","",""
"2021 January","Portlaw-Kilmacthomas, Waterford","5 - 11 years","","","","","","","","","",""
"2021 January","Portlaw-Kilmacthomas, Waterford","12 years and over","3.8","1.5","","","","","","","",""
"2021 January","Lismore, Waterford","5 - 11 years","","","","","","","","","",""
"2021 January","Lismore, Waterford","12 years and over","2.9","0.8","","","","","","","",""
"2021 January","Tramore-Waterford City West, Waterford","5 - 11 years","","","","","","","","","",""
"2021 January","Tramore-Waterford City West, Waterford","12 years and over","2.9","1.8","","","","","","","",""
"2021 January","Waterford City South, Waterford","5 - 11 years","","","","","","","","","",""
"2021 January","Waterford City South, Waterford","12 years and over","2.8","1.9","","","","","","","",""
"2021 January","Waterford City East, Waterford","5 - 11 years","","","","","","","","","",""
"2021 January","Waterford City East, Waterford","12 years and over","5.3","4.1","","","","","","","",""
"2021 January","Athlone, Westmeath","5 - 11 years","","","","","","","","","",""
"2021 January","Athlone, Westmeath","12 years and over","3.4","1.1","","","","","","","",""
"2021 January","Moate, Westmeath","5 - 11 years","","","","","","","","","",""
"2021 January","Moate, Westmeath","12 years and over","4.2","1.8","","","","","","","",""
"2021 January","Kinnegad, Westmeath","5 - 11 years","","","","","","","","","",""
"2021 January","Kinnegad, Westmeath","12 years and over","2.7","1.2","","","","","","","",""
"2021 January","Mullingar, Westmeath","5 - 11 years","","","","","","","","","",""
"2021 January","Mullingar, Westmeath","12 years and over","3","2","","","","","","","",""
