GP_Name,GP_Address,GP_LocationText,GP_LocationLink,latitude,longitude,latitude,longitude
Annagh Medical Centre,"Doctors Road, Ballyhaunis, Mayo, F35  X932",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F35 X932,NA,NA,53.767170900000004,-8.7713178
Annascaul Health Centre,"Church Avenue, Brackloon, Annascaul, Kerry, V92  Ka03",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Ljmcy1aynfp4udls7,NA,NA,52.15147,-10.05288
An Neidin Family Practice,"Railway Road, Kenmare, Kerry, V93  Y02r",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V93 Y02r,NA,NA,51.8851092,-9.581234
"Anver Amod, Tallaght","The Russell Building, Tallaght Cross West, Tallaght, Dublin, D24  Dh74",Location And Directions - Google Maps,Https://Maps.app.goo.gl/82ehelkjzal5xnfc6,NA,NA,53.28742080000001,-6.3770123
Applewood Medical Centre,"Applewood Village, Swords, Dublin, K67  V2y0",Location And Directions - Google Maps,Https://Maps.google.com/?Q=K67 V2y0,NA,NA,53.471163,-6.232677
Aranleigh Health Centre,"1 Aranleigh Mount, Rathfarnham, Dublin, D14  K822",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D14 K822,NA,NA,53.2904037,-6.282248399999999
Ard Bryan Clinic,"Dublin Road, Bryanstown, Drogheda, Louth, A92  H4xh",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A92 H4xh,NA,NA,53.7065241,-6.3247207
Ardfert Medical Centre,"Farranwilliam, Ardfert, Kerry, V92  Ekx9",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V92 Ekx9,NA,NA,52.3252111,-9.7785523
Ardkeen Medical Centre,"Ardkeen Shopping Centre, Dunmore Road, Waterford City, Waterford, X91  Xe0a",Location And Directions - Google Maps,Https://Maps.google.com/?Q=X91 Xe0a,NA,NA,52.2463974,-7.082132199999999
Ardlea Medical Practice,"79 Upper O'connell Street, Ennis, Clare, V95  Pd2n",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V95 Pd2n,NA,NA,52.8427332,-8.9830701
Ardmell Clinic,"Upper Mell, Drogheda, Louth, A92  Fk2a",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A92 Fk2a,NA,NA,53.7191086,-6.3735276
Ardmore Health Centre,"Rocky Road, Ardmore, Waterford, P35  Tk61",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Kwb261flgwwzc6uy6,NA,NA,51.9499769,-7.7228608
Ark Medical Centre,"Unit 1b, Pearse Road, Letterkenny, Donegal, F92  Tn92",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F92 Tn92,NA,NA,54.95123239999999,-7.73227
Arlington House Medical Centre,"Dublin Road, Oranmore, Galway, H91  Fxd0",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H91 Fxd0,NA,NA,53.2697993,-8.9229496
Armagh Road Primary Care Centre,"Armagh Road, Crumlin, Dublin, D12  Yy82",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D12 Yy82,NA,NA,53.3205108,-6.3067696
