GP_Name,GP_Address,GP_LocationText,GP_LocationLink,latitude,longitude,latitude,longitude
Dolmen Family Medical Practice,"Shamrock Plaza, Green Lane, Carlow Town, Carlow, R93  Yf70",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R93 Yf70,NA,NA,52.8366422,-6.924162
Donabate Clinic,"Warrington Mews, Main Street, Donabate, Dublin, K36  Dh34",Location And Directions - Google Maps,Https://Maps.google.com/?Q=K36 Dh34,NA,NA,53.4865268,-6.1479003
Donabate Medical Centre,"Unit 4, Portrane Road, Donabate, Dublin, K36  Xv57",Location And Directions - Google Maps,Https://Maps.google.com/?Q=K36 Xv57,NA,NA,53.4905686,-6.1411928
Donaghmede Medical Clinic,"Unit 40a Donaghmede Shopping Centre, Grange Road, Donaghmede, Dublin, D13  V9x6",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D13 V9x6,NA,NA,53.397895,-6.1500804
Donegal Health Centre Primary Care Centre,"Waterloo Place, Donegal Town, Donegal, F94  Xva4",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F94 Xva4,NA,NA,54.65588049999999,-8.1107669
Doon Medical Clinic,"Saint Josephs Convent Of Mercy, Lisgaugh, Doon, Limerick, V94  Ef2v",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Ef2v,NA,NA,52.60387309999999,-8.244877299999999
Doon-Moon Medical Centre,"Saint Nessan's Road, Dooradoyle, Limerick, V94  Fcd1",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Fcd1,NA,NA,52.6366187,-8.6544658
Dooradoyle Medical Centre,"Dooradoyle Road, Limerick, Limerick, V94  3h68",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 3h68,NA,NA,52.631856,-8.6433334
Dorman Family Practice,"6 The Mall, Sligo Town, Sligo, F91  Yf1h",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F91 Yf1h,NA,NA,54.2725145,-8.468247
Douglas Medical Centre,"East Douglas Street, Douglas, Cork, T12  A3pc",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T12 A3pc,NA,NA,51.8765818,-8.4347313
Dr Achim Schlunke Thomastown,"Primary Care Centre, Lady’s Well Street, Thomastown, Kilkenny, R95  T3fw",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R95 T3fw,NA,NA,52.5268615,-7.1440186
Dr Ahmad Ajina,"1a Orwell Park, Dublin 6w, Dublin, D6w  Ad14",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D6w Ad14,NA,NA,53.2993606,-6.3223579
Dr Ailin Becker,"Main Street, Ballydehob, Cork, P81  X853",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P81 X853,NA,NA,51.5631376,-9.4592246
Dr Alex Khourie,"5 Saint Enda's Drive, Rathfarnham, Dublin, D14  T2p8",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D14 T2p8,NA,NA,53.2891353,-6.2835659
Dr Andrew Kelly,"1 Graney Close, Dooradoyle, Limerick, V94  V2tt",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 V2tt,NA,NA,52.6321867,-8.6574739
Dr Ann Cronin,"Market Road, Killorglin, Kerry, V93  Ry62",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V93 Ry62,NA,NA,52.107177,-9.7859899
Dr Annemarie Dineen,"Carlton House, 8 Shannon Street, Limerick, Limerick, V94  Ty79",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Ty79,NA,NA,52.66249999999999,-8.629083999999999
Dr Anne Mcswiney,"Pluckeen, Caherslee, Tralee, Kerry, V92  Aw21",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V92 Aw21,NA,NA,52.275997,-9.7174215
Dr Anne Rowan Gp Surgery,"Coill Rainne, Killarainy, Moycullen, Galway, H91  Tx08",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H91 Tx08,NA,NA,53.34032759999999,-9.1835489
Dr Anvor Amod,"44 Westland Row, Dublin, D02  W274",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D02 W274,NA,NA,53.342771,-6.2497731
Dr Barry Lordan,"Main Street, Ballyduff Upper, Waterford, P51  E0kr",Location And Directions - Google Maps,Https://Maps.app.goo.gl/5jyxt5rzglgxntau7,NA,NA,52.1476997,-8.0526372
Dr Barry Lordan,"East Main Street, Lismore, Waterford, P51  Ck70",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P51 Ck70,NA,NA,52.1380474,-7.9275307
Dr Bastiaan Van Eynatten,"5 Adelaide Terrace, Wellington Road, Cork City, Cork, T23  Vy84",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T23 Vy84,NA,NA,51.9033048,-8.4613766
Dr Bent And Kinsella,"17 Pembroke Cottages, Main Street, Dundrum, Dublin, D14  X2t7",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D14 X2t7,NA,NA,53.2895519,-6.2435062
Dr Bhutta Surgery,"34 Mount Carmel Road, Churchtown, Dublin, D14  Tp93",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D14 Tp93,NA,NA,53.2961061,-6.2389226
Dr Blanaid Maccurtain,"The Paddocks, Castle Street, Castleconnell, Limerick, V94  Rc56",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Rc56,NA,NA,52.7124953,-8.5005462
Dr Brady's Surgery,"Apartment 2, 12 Camden Street Upper, Dublin, D02  A270",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D02 A270,NA,NA,53.3327791,-6.2651154
Dr Brendan Lee,"3 Cormac Street, Tullamore, Offaly, R35  Ck06",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R35 Ck06,NA,NA,53.2715338,-7.4951998
Dr Brendan O'regan,"4 Pearse Square, Ballyphehane, Cork, T12  W56r",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T12 W56r,NA,NA,51.88335259999999,-8.4825196
Dr Brennan And Dr Murphy Surgery,"Doctor Roisin Brennan, 36 Market Street, Sligo Town, Sligo, F91  Wfk8",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F91 Wfk8,NA,NA,54.2703807,-8.4738876
Dr Brian Kennedy,"Mount Carmel, Tyone, Nenagh, Tipperary, E45  Wf63",Location And Directions - Google Maps,Https://Maps.google.com/?Q=E45 Wf63,NA,NA,52.8582328,-8.193005399999999
Dr Brian Walsh,"Warren House, 16 Warrenhouse Road, Dublin, D13  Tr53",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D13 Tr53,NA,NA,53.39395159999999,-6.1246553
Dr Buckeridge,"325 Blarney Street, Ballinlough, Cork, T23  K59h",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T23 K59h,NA,NA,51.9014946,-8.486711399999999
Dr Byrnes Surgery,"10 Francis Street, Dundalk, Louth, A91  Tp4v",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A91 Tp4v,NA,NA,54.0038182,-6.400512
Dr Byrne Surgery,"Cloughgrace, Cournellan, Borris, Carlow, R95  W8p6",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R95 W8p6,NA,NA,52.57486660000001,-6.915618299999999
Dr Cahill Surgery,"70 Serpentine Avenue, Sandymount, Dublin, D04  E067",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D04 E067,NA,NA,53.3312991,-6.2234639
Dr Cantwell And Dr Spillane,"23 Old Bawn Way, Tallaght, Dublin, D24  Tkp0",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D24 Tkp0,NA,NA,53.2798165,-6.3612546
Dr Carmel Guilfoyle General Practice,"Chapel Street, Ballyshannon, Donegal, F94  H2ax",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F94 H2ax,NA,NA,54.5032752,-8.1886942
Dr Cathal O'sullivan,"37 Seapoint Avenue, Blackrock, Dublin, A94  X3t8",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A94 X3t8,NA,NA,53.2980312,-6.162694399999999
Dr Catherine King,"172 Sundrive Road, Kimmage, Dublin, D12  V2cy",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D12 V2cy,NA,NA,53.32505399999999,-6.2966449
Dr Catherine Sweeney Family Practice,"Main Street, Ballindine, Mayo, F12  H1r7",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Xackn85a7cbteymk6,NA,NA,53.6715929,-8.9587828
Dr Charles Meehan,"Garden Court, Tone Street, Ballina, Mayo, F26  V978",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F26 V978,NA,NA,54.1148488,-9.157527199999999
Dr Ciarin Cairns Medical Practice,"2b Neighbourhood Shopping Centre, Inner Relief Road, Dundalk, Louth, A91  P5pd",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A91 P5pd,NA,NA,53.9861051,-6.3800934
Dr Clinton,"Carrowkibbock Lower, Ballycastle, Mayo, F26  R3k4",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Ezenqyz2qxx3oueg9,NA,NA,54.2769792,-9.359587699999999
Dr Coleman's Surgery,"Main Street, Tubbercurry, Sligo, F91  Hx89",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F91 Hx89,NA,NA,54.0525801,-8.7326975
Dr Conor Geaney,"Hsecroom Primary Care Centre, Skagh, Limerick, V35  Xt25",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V35 Xt25,NA,NA,52.52603920000001,-8.712737599999999
Dr Cox,"2 Iveragh Road, Ashtown, Dublin, D09  Fk15",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D09 Fk15,NA,NA,53.3810634,-6.2462385
Dr Crosby Raheny General Practice,"443 Howth Road, Donaghmede, Dublin, D05  Y432",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D05 Y432,NA,NA,53.3799922,-6.1718907
Dr Cyril Daly,"296 Howth Road, Clontarf East, Dublin, D05  F8w8",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D05 F8w8,NA,NA,53.3751007,-6.1977943
Dr David Brunker,"15 The Arches, Ballina, Mayo, F26  Kv63",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F26 Kv63,NA,NA,54.1139457,-9.149039799999999
Dr Deborah Buckley,"Market Green Shopping Centre, Midleton, Cork, P25  Dy83",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P25 Dy83,NA,NA,51.9161988,-8.1792442
Dr Deirdre Forde,"1 Ankers Bower, Brideswell, Athlone, Westmeath, N37  Wc62",Location And Directions - Google Maps,Https://Maps.google.com/?Q=N37 Wc62,NA,NA,53.4200053,-7.9235884
Dr Denise Nolan,"1 Beaufield Avenue, Maynooth, Kildare, W23  Ny62",Location And Directions - Google Maps,Https://Maps.google.com/?Q=W23 Ny62,NA,NA,53.3745252,-6.6005413
Dr Desmond Day,"Dr. Desmond Day, 63 Main Street, Finglas, Dublin, D11  Pdr3",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D11 Pdr3,NA,NA,53.3893554,-6.2993818
Dr Devlin Surgery,"Unit 17/18 Ballinakill Shopping Centre, Dunmore Road, Waterford City, Waterford, X91  An25",Location And Directions - Google Maps,Https://Maps.google.com/?Q=X91 An25,NA,NA,52.2408066,-7.0669179
Dr Diarmaid Mcloughlin,"3 Circular Road, Swinford, Mayo, F12  W243",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F12 W243,NA,NA,53.9440505,-8.953784299999999
Dr. Donal Sheehan,"Rhode, Rhode, Offaly, R35  Pc95",Location And Directions - Google Maps,Https://Maps.app.goo.gl/3muwrrcyeyfzmh2za,NA,NA,53.3503515,-7.196424
Dr Donncha Ó'cuill,"6 The Orchards, Glasheen Road, Cork City, Cork, T12  K7cp",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T12 K7cp,NA,NA,51.8879952,-8.4950117
Dr E And M O'callaghan,"Newtown, Bruff, Limerick, V35  Xk51",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V35 Xk51,NA,NA,52.4788071,-8.5493211
Dr Edmund Fitzpatrick,"Fennor, Urlingford, Urlingford, Tipperary, E41  H275",Location And Directions - Google Maps,Https://Maps.google.com/?Q=E41 H275,NA,NA,52.7051987,-7.596190899999999
Dr Edward Harty,"Annaghvaan, Bealadangan, Galway, H91  Dx4f",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H91 Dx4f,NA,NA,53.3120932,-9.6269251
Dr Edward O'sullivan,"La Verna, Ishopstown Road, Cork City, Cork, T12  E9pe",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T12 E9pe,NA,NA,51.8793442,-8.5169514
Dr E J Cox,"25 Belvedere Road, Dublin, D01  F438",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D01 F438,NA,NA,53.3595556,-6.2587616
Dr El-Zayed Hegazy,"4 Chatham Street, Dublin, D02  R223",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D02 R223,NA,NA,53.3407145,-6.2618645
Dr Emily O'dowd,"Mount Carmel, Tyone, Nenagh, Tipperary, E45  Wf63",Location And Directions - Google Maps,Https://Maps.google.com/?Q=E45 Wf63,NA,NA,52.8582328,-8.193005399999999
Dr Eric Dilworth,"17a Cherryfield Lawn, Hartstown, Dublin, D15  N729",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D15 N729,NA,NA,53.3916973,-6.4199278
Dr Eugene Morgan,"Ballinvarrig, Whitechurch, Cork, T34  Dy79",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T34 Dy79,NA,NA,51.9703751,-8.5032033
Dr Fergal Ruane Surgery,"Quay Street, Belmullet, Mayo, F26  Hh60",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F26 Hh60,NA,NA,54.22376190000001,-9.9905204
Dr Fergus Murray,"41 Lower Main Street, Rush, Dublin, K56  R274",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Qu51v8epkdhbvwnj9,NA,NA,53.5215979,-6.0880055
Dr Fergus Purcell,"5 Castle Crescent, Clondalkin, Dublin, D22  Y7y8",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D22 Y7y8,NA,NA,53.3211874,-6.3900292
Dr F Fahey,"O'connor Square, Tullamore, Offaly, R35  H221",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R35 H221,NA,NA,53.27414959999999,-7.492370399999999
Dr Fidelma Savage,"Donard House, Novara Avenue, Bray, Wicklow, A98  P6r2",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A98 P6r2,NA,NA,53.20230890000001,-6.1094642
Dr Fiona Molloy,"Culleen, Headford, Galway",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V35 Ep21,NA,NA,53.4694617,-9.106133999999999
Dr Flynn And Lee,"Ballinacurra House, Ballinacurra, Limerick, V35  Ep21",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F12 Aw93,NA,NA,52.644526,-8.6469664
Dr Frances Rowley,"Dublin Road, Swinford, Mayo, F12  Aw93",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D04 X4k6,NA,NA,53.9443483,-8.9449277
Dr Gately's Surgery,"Cameo, 119 Strand Road, Sandymount, Dublin, D04  X4k6",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R56 F588,NA,NA,53.3259907,-6.2081216
Dr Gerard Caffrey,"Suncroft Road, Brownstown Great, Curragh, Kildare, R56  F588",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 F6ye,NA,NA,53.1293864,-6.8436231
Dr Giolla Mccann,"Westbrook House, Caherdavin Cross, Limerick, V94  F6ye",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P75 W665,NA,NA,52.6717633,-8.6618292
Dr Glisson Surgery,"North Road, Castletownbere, Cork, P75  W665",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D02 Xv65,NA,NA,51.6624306,-9.9038402
Dr Goodwin Mcdonnell,"3 Ely Place Upper, Dublin, D02  Xv65",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R35 X789,NA,NA,53.3368465,-6.2544324
Dr Grainne Mchale Surgery,"15 Henry Street, Tullamore, Offaly, R35  X789",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T12 Y862,NA,NA,53.2754418,-7.487511799999999
Dr Greg Murphy,"Chapel Square, Passage West, Cork, T12  Y862",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D09 Y367,NA,NA,51.8713502,-8.3358129
Dr Hampston,"128 Collins Avenue, Beaumont, Dublin, D09  Y367",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D22 V2f6,NA,NA,53.37735139999999,-6.224175499999999
Dr Hans Weber,"98 Monastery Road, Clondalkin, Dublin, D22  V2f6",Location And Directions - Google Maps,Https://Maps.google.com/?Q=E45 Kv88,NA,NA,53.3199687,-6.383582
Dr Harrold Medical Centre,"Tyone, Nenagh, Tipperary, E45  Kv88",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D15 K29f,NA,NA,52.8563991,-8.1912704
Dr Hassan Al Bayyari,"62 Maple Drive, Castleknock, Dublin, D15  K29f",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D12 Yr99,NA,NA,53.3783352,-6.380216
Dr Helen Fenton,"154 Cooley Road, Drimnagh, Dublin, D12  Yr99",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F12 Wd34,NA,NA,53.3306768,-6.3246946
Dr Hugh Byrne,"Ballynanerroon Beg, Partry, Mayo, F12  Wd34",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F91 Xy03,NA,NA,53.6985964,-9.2790042
Dr Ida Leddy,"Drumfad, Grange, Sligo, F91  Xy03",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P47 Hp90,NA,NA,54.4053043,-8.490917099999999
Drimoleague Surgery,"East End, Drimoleague, Cork, P47  Hp90",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F28 Y234,NA,NA,51.6616929,-9.2587681
Dr Ita Mullaghy,"South Mall, Westport, Mayo, F28  Y234",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R14 Xe72,NA,NA,53.8004146,-9.5214863
Dr James Dillon,"Carlowgate, Castledermot, Kildare, R14  Xe72",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D03 A3v7,NA,NA,52.911404,-6.838715
Dr James Dolan,"191 Howth Road, Clontarf East, Dublin, D03  A3v7",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F91 Yp57,NA,NA,53.3709206,-6.2044773
Dr James G Devins,"Unit 2 Stephen Court, Stephen Street, Sligo Town, Sligo, F91  Yp57",Location And Directions - Google Maps,Https://Maps.google.com/?Q=E41 E276,NA,NA,54.27213520000001,-8.4732977
Dr James Molony,"Friar Street, Thurles, Tipperary, E41  E276",Location And Directions - Google Maps,Https://Maps.google.com/?Q=X35 Yc98,NA,NA,52.6783773,-7.8174781
Dr James Stacey,"26 O'connell Street, Dungarvan, Waterford, X35  Yc98",Location And Directions - Google Maps,Https://Maps.google.com/?Q=E41 Wp48,NA,NA,52.08964839999999,-7.6239372
Dr J M Hennessy Practice,"Main Street, Templemore, Tipperary, E41  Wp48",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D09 Ht95,NA,NA,52.7963897,-7.8359308
Dr J N Mohamed,"31 Oak Avenue, Royal Oak, Santry, Dublin, D09  Ht95",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P47 Wn77,NA,NA,53.40076999999999,-6.2369115
Dr J O'connell,"Sackville Street, Dunmanway, Cork, P47  Wn77",Location And Directions - Google Maps,Https://Maps.google.com/?Q=Y35 Ae67,NA,NA,51.7221736,-9.1089421
Dr John B O'connor,"Tigeen, Danescastle, Bannow, Wexford, Y35  Ae67",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R35 Dc63,NA,NA,52.2402312,-6.7314285
Dr John Corboy,"Church Street, Clara, Offaly, R35  Dc63",Location And Directions - Google Maps,Https://Maps.google.com/?Q=Y35 Nw62,NA,NA,53.3458898,-7.6182198
Dr John Curran,"Newbawn, Newbawn, Wexford, Y35  Nw62",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T12 Vc43,NA,NA,52.3433783,-6.7825034
Dr John Dromey Surgery,"Ballyleigh, Waterfall, Cork, T12  Vc43",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F26 Dc42,NA,NA,51.8325007,-8.5747049
Dr John Grimes,"Ballina Road, Foxford, Mayo, F26  Dc42",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P12 Hf44,NA,NA,53.9834898,-9.1177327
Dr John J Burke,"Castle Street, Macroom, Cork, P12  Hf44",Location And Directions - Google Maps,Https://Maps.app.goo.gl/9rtk688heywyx8qa9,NA,NA,51.9054264,-8.9616187
Dr John Lyons,"Link Road, Mountrath, Laois, R32  Ea32",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F12 Rc04,NA,NA,52.9996317,-7.4740142
Dr John Mccrohan,"Bridge Street, Swinford, Mayo, F12  Rc04",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D22 F2p9,NA,NA,53.943881,-8.9484939
Dr John O'grady,"48 Tower Road, Clondalkin, Dublin, D22  F2p9",Location And Directions - Google Maps,Https://Maps.google.com/?Q=X91 Yv57,NA,NA,53.320272,-6.3950977
Dr John Power,"34 Ballybricken, Waterford City, Waterford, X91  Yv57",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Ay05,NA,NA,52.259688,-7.1177648
Dr John Slevin,"The Moorings 4 Verona Villas, O'connell Avenue, Limerick, Limerick, V94  Ay05",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D12 Xfp6,NA,NA,52.65460539999999,-8.6347632
Dr. John Synnott Surgery,"144 Old County Road, Drimnagh, Dublin, D12  Xfp6",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D05 N7f3,NA,NA,53.3270704,-6.3060898
Dr John Taylor,"117a Ardlea Road, Beaumont, Dublin, D05  N7f3",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Hc44,NA,NA,53.38719520000001,-6.2121831
Dr. John Waters,"33 Fortfield, Raheen, Limerick, V94  Hc44",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D13 P2c1,NA,NA,52.62759699999999,-8.6525941
Dr Joseph P Cranley,"5/6 Main Street, Howth, Dublin, D13  P2c1",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D03 X5v2,NA,NA,53.3857069,-6.065262700000001
Dr Joseph Yasbeck,"13 Marino Mart, Dublin, D03  X5v2",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V23 Cd89,NA,NA,53.3643696,-6.2320847
Dr J Shanahan And Dr B O'donovan,"Main Street, Caherciveen, Kerry, V23  Cd89",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V35 Nn52,NA,NA,51.9463015,-10.226415
Dr Judith Bugler,"Main Street, Kilfinane, Limerick, V35  Nn52",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A91 R88x,NA,NA,52.35878,-8.468675700000002
Dr J. Whately Surgery,"2 Park Avenue, Dundalk, Louth, A91  R88x",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H53 R6x5,NA,NA,54.0038786,-6.4045282
Dr K Duddy,"Saint Brendan's Street, Portumna, Galway, H53  R6x5",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V42 V259,NA,NA,53.0934948,-8.2239669
Dr Kelly & Loughnane,"Bóthar Buí, Newcastle West, Limerick, V42  V259",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H91 Xff9,NA,NA,52.4457957,-9.0588715
Dr Kieran Whyte,"42 Father Griffin Road, Galway City, Galway, H91  Xff9",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D22 V2h9,NA,NA,53.2672829,-9.062136299999999
Dr K Olinger,"Unit 6 Village Centre, Watery Lane, Clondalkin, Dublin, D22  V2h9",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P51 Ncd6,NA,NA,53.322655,-6.3930108
Dr Leader Surgery,"Threadle Hill, Gneeves, Boherbue, Cork, P51  Ncd6",Location And Directions - Google Maps,Https://Maps.google.com/?Q=E41 V1d9,NA,NA,52.1558473,-9.0727005
Dr. Liam Collins,"Fianna Road, Thurles, Tipperary, E41  V1d9",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A91 Ry6a,NA,NA,52.6770879,-7.8133653
Dr Liam Mcgrath,"30 Jocelyn Street, Dundalk, Louth, A91  Ry6a",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Rqqygemmfb8pxbpn9,NA,NA,54.0052013,-6.3945912
Dr Lonergan And Helly Surgery,"Convent Lane, Graignamanagh, Kilkenny, R95  A520",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F23 P827,NA,NA,52.5418384,-6.9545794
Dr Long,"New Antrim Street, Castlebar, Mayo, F23  P827",Location And Directions - Google Maps,Https://Maps.google.com/?Q=X91 Ar29,NA,NA,53.8591243,-9.2982357
Dr M A Fitzgerald,"Horsequarter, Dunmore East, Waterford, X91  Ar29",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Dtpqauminvjwlsmq9,NA,NA,52.1553082,-6.9963555
Dr Maire Una Ni Rathaille,"Galally Road, Ballylanders, Limerick, V35  K164",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F26 Tp04,NA,NA,52.3743686,-8.345688
Dr Marcus Allen,"4 Howley Terrace, Ballina, Mayo, F26  Tp04",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F91 Wk0t,NA,NA,54.1147724,-9.147905399999999
Dr Margaret Connolly,"1 High Street, Sligo Town, Sligo, F91  Wk0t",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D24 K5w9,NA,NA,54.2695708,-8.4733115
Dr Maria Galdon-Blesa,"Unit 14, Belgard Square West, Tallaght, Dublin, D24  K5w9",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D01 Yd83,NA,NA,53.286094,-6.3755239
Dr Maria Lube,"36c Talbot Street, Dublin, D01  Yd83",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A94 Ev56,NA,NA,53.3512913,-6.2519053
Dr. Marian Mcwade,"Avoca Cottage, 12 Avoca Avenue, Blackrock, Dublin, A94  Ev56",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P25 Kt53,NA,NA,53.29708220000001,-6.185181099999999
Dr Mark Buckley,"Main Street, Castlemartyr, Cork, P25  Kt53",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A75 P822,NA,NA,51.9126295,-8.0594514
Dr Mary Flanagan,"Main Street, Castleblayney, Monaghan, A75  P822",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Xd2e,NA,NA,54.1201383,-6.7379842
Dr Mary Mcnally G.p. Surgery,"1 Stenson Park, Farranshone, Limerick, V94  Xd2e",Location And Directions - Google Maps,Https://Maps.google.com/?Q=W91 V528,NA,NA,52.6715179,-8.6351797
Dr Mary Mulqueen,"College Road, Clane, Kildare, W91  V528",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V95 Wn26,NA,NA,53.2970068,-6.6885727
Dr Maura O'meara,"Ennis Road, Miltown Malbay, Clare, V95  Wn26",Location And Directions - Google Maps,Https://Maps.google.com/?Q=W91 X9vc,NA,NA,52.85356,-9.39821
Dr M Babiker,"122 Aylmer Park, Naas, Kildare, W91  X9vc",Location And Directions - Google Maps,Https://Maps.google.com/?Q=E41 E6h7,NA,NA,53.2333019,-6.6474054
Dr Mcbrearty,"Slievenamon Road, Thurles, Tipperary, E41  E6h7",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Aqzdblwtm1bjyduj8,NA,NA,52.6744064,-7.8121382
Dr Mcgauran Surgery,"Market Street, The Squre, Eurecourt, Ballinasloe, Galway, H53  Fx94",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V42 W738,NA,NA,53.2005748,-8.1300963
Dr Mel Fullam,"Bishop Street, Newcastle West, Limerick, V42  W738",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D07 C9he,NA,NA,52.4524454,-9.0590154
