GP_Name,GP_Address,GP_LocationText,GP_LocationLink
Clonsilla Family Practice,"1 Weaver's Row, Clonsilla Road, Clonsilla, Dublin, D15  Wp93",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D15 Wp93
Clonsilla Medical Centre,"1 Weaver's Row, Clonsilla Road, Clonsilla, Dublin, D15  Wp93",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D15 Wp93
Clontarf Family Practice,"14 Kincora Avenue, Clontarf, Dublin, D03  T2w2",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D03 T2w2
Clontarf General Practice,"2/3 Churchgate Avenue, Clontarf East, Dublin, D03  Dk59",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D03 Dk59
Clontarf Medical Centre,"26 Saint Gabriel's Road, Dublin, D03  H016",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D03 H016
Cloughjordan Medical Centre,"Templemore Road, Cloughjordan, Tipperary, E53  Eh94",Location And Directions - Google Maps,Https://Maps.google.com/?Q=E53 Eh94
Cloughvalley Group Practice,"Carrickmacross, Monaghan, A81  N627",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A81 N627
Clounalour Medical Centre,"Centrepoint, John Joe Sheehy Road, Tralee, Kerry, V92  P2fe",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V92 P2fe
Cloyne Medical Centre,"The Square, Cloyne, Cork, P25  Tw96",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P25 Tw96
Clune Road Medical Centre,"23 Clune Road, Finglas, Dublin, D11  W95n",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D11 W95n
Clybaun Surgery,"Clybaun Road, Knocknacarra, Galway, H91  Akk3",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H91 Akk3
Coachford Family Practice,"The Old Surgery, Clontaebeg, Coachford, Cork, P12  Fn50",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P12 Fn50
Coach Horse Lane Surgery,"Coach Horse Lane, The Square, Midleton, Cork, P25  Dh57",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P25 Dh57
Cobh Medical Centre,"Canon O’ Leary Place, Cobh, Cork, P24  Hw13",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P24 Hw13
College Gate Clinic,"123 Ballymun Road, Glasnevin, Dublin, D09  W523",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D09 W523
College Medical Centre- Practice Of Dr. Katharine Ormond,"1 Ballinalee Road, Longford, Longford, N39  N2d1",Location And Directions - Google Maps,Https://Maps.google.com/?Q=N39 N2d1
College Medical Centre- Practice Of Dr Kevin Flanagan And Dr Siobhan Tempany,"1 Ballinalee Road, Longford, Longford, N39  N2d1",Location And Directions - Google Maps,Https://Maps.google.com/?Q=N39 N2d1
College Medical Centre- Practice Of Dr. Padraig Mc Garry,"1 Ballinalee Road, Longford, Longford, N39  N2d1",Location And Directions - Google Maps,Https://Maps.google.com/?Q=N39 N2d1
Collins Ave Gp,"138 Collins Avenue, Whitehall, Dublin, D09  W7w3",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D09 W7w3
Collins Medical Centre,"Saint Brendan's Road, Lisdoonvarna, Clare, V95  Hh6w",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V95 Hh6w
Collins Medical Practice,"Cootehill Road, Drumalee, Cavan, H12  Nv22",Location And Directions - Google Maps,Https://Maps.app.goo.gl/86ebh5wupb19lsmt9
Collooney Health Centre,"Lower Main Street, Collooney, Sligo, F91  Crx3",Location And Directions - Google Maps,Https://Maps.app.goo.gl/9bsytuk3mnqsn81qa
Confey Medical,"74 Newtown Park, Leixlip, Kildare, W23  A376",Location And Directions - Google Maps,Https://Maps.google.com/?Q=W23 A376
Convent Street Clinic,"41 Market Street, Listowel, Kerry, V31  Dv76",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V31 Dv76
Coolaney Health Centre,"Main Street, Coolaney, Sligo, F56  Ae39",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F56 Ae39
Coolbaun Clinic,"Coolbawn Health Centre, Coolbawn, Castlecomer, Kilkenny, R95  W0ht",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R95 W0ht
Coole Medical Centre,"Coole, Westmeath, N91  F7xr",Location And Directions - Google Maps,Https://Maps.google.com/?Q=N91 F7xr
Coolock Family Practice,"Cromcastle Road, Coolock, Dublin, D05  V026",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Vrqt2tfcjn51ekjb7
Coombe Family Practice,"383 South Circular Road, Rialto, Dublin, D08  E0x7",Location And Directions - Google Maps,Https://Maps.app.goo.gl/73bfhorfxpqohhzw8
Cooper Medicare,"17 Ashe Street, Tralee, Kerry, V92  D76r",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V92 D76r
Cootehill Medical Centre,"4 Cavan Road, Cootehill, Cavan, H16  Ah30",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H16 Ah30
Corbally Medical Centre,"Corbally Road, Corbally, Limerick, V94  Wfx9",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Wfx9
Cork City Medical Centre,"First Floor, 91 Saint Patrick's Street, Cork City, Cork, T12  K5fk",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T12 K5fk
Cork Road Medical Clinic,"1 Cork Road, Carrigaline, Cork, P43  Yw98",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P43 Yw98
Cornerstone Medical Practice,"19 Fair Street, Drogheda, Louth, A92  Vn2k",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A92 Vn2k
Corrib Medical Centre,"17/18 Mill Street, Galway City, Galway, H91  E206",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H91 E206
County Medical Centre,"Kilmallock Retail Park, Kilmallock, Limerick, V35  V523",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V35 V523
Courthouse Road Medical Centre,"6 Courthouse Road, Listowel, Kerry, V31  Xd32",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V31 Xd32
Court Street Medical Centre,"Court Street, Enniscorthy, Wexford, Y21  Vf38",Location And Directions - Google Maps,Https://Maps.google.com/?Q=Y21 Vf38
Cremore Clinic,"66 Ballygall Road East, Glasnevin, Dublin, D11  Rx50",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D11 Rx50
Crescent Medical Centre,"1 The Crescent, Galway City, Galway, H91  E7fp",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H91 E7fp
Crescent Medical Centre,"923 Moorefield Crescent, Newbridge, Kildare, W12  Ry79",Location And Directions - Google Maps,Https://Maps.google.com/?Q=W12 Ry79
Crestfield Medical Practice,"14 Crestfield Drive, Whitehall, Dublin, D09  Ny94",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D09 Ny94
Croagh Medical Centre,"Ballycannon, Croagh, Limerick, Limerick, V94  Fda5",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Fda5
Cromcastle General Practice,"Cromcastle Road, Coolock, Dublin, D05  V026",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Vrqt2tfcjn51ekjb7
Crosshaven Surgery,"Point Road, Crosshaven, Cork, P43  Dt66",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P43 Dt66
Crotty/Wiseman Medical Centre,"Main Street, Ballincollig, Cork, P31  F384",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P31 F384
Crow Street Medical Centre,"Lower Main Street, Borris, Carlow, R95  F1wp",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R95 F1wp
Crumlin Family Practice,"Unit 2, Windmill Lodge, Windmill Road, Dublin, D12  Xt54",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D12 Xt54
Crumlin Medical Practice,"1 Errigal Road, Drimnagh, Dublin, D12  Nv0a",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D12 Nv0a
Cullen & Hanly Family Doctors,"15 Pery Square, Prospect, Limerick, V94  Xv4a",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Xv4a
Curragh Grange Family Practice,"Curragh Grange, Newbridge, Kildare, W12  N668",Location And Directions - Google Maps,Https://Maps.google.com/?Q=W12 N668
Curraheen Clinic,"Curraheen Road, Bishopstown, Cork, T12  Xy7d",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T12 Xy7d
Custom House Square Medical Centre,"2 Gandon House, Custom House Square, Mayor Street Lower, Dublin, D01  Cy50",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D01 Cy50
Cypress Clinic,"8 Cypress Park, Templeogue, Dublin, D6w  Yy63",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D6w Yy63
D15 Gp Clinic,"Unit 3, Main Street, Blanchardstown, Dublin, D15  Yp03",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D15 Yp03
D18 Medical,"Belarmine Plaza, Belarmine Avenue, Stepaside, Dublin, D18  W5w9",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D18 W5w9
D3 Medical Centre,"196 Howth Road, Clontarf East, Dublin, D03  C1p8",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D03 C1p8
D4 Medical Centre,"95a Morehampton Road, Donnybrook, Dublin, D04  N903",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D04 N903
D9 Family Practice,"204 Ballymun Road, Whitehall, Dublin, D09  X3p0",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D09 X3p0
Dalkey Medical Practice,"4a Saint Patrick's Road, Dalkey, Dublin, A96  T2p0",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A96 T2p0
Daly's Lane Surgery,"Daly's Lane, Main Street, Killorglin, Kerry, V93  Kx2c",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V93 Kx2c
Dame Street Medical Centre,"16 Dame Street, Woodview, Dublin, D02  Td50",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D02 Td50
Dargle Clinic,"11a Eglinton Road, Bray, Wicklow, A98  D2x6",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A98 D2x6
Darndale Health Centre,"Darndale Belcamp Village Centre, The Link Road, Priorswood, Dublin, D17  X050",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Vgaeawwz9yiymnpq6
Davin Clinic,"Annesville, Ennis Road, Limerick, Limerick, V94  Yy8d",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Yy8d
Dawson Medical,"Suite 1, Morrison Chambers, 32 Nassau Street, Dublin 2, Dublin, D02  Pc58",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D02 Pc58
Deansgrange Medical Centre,"Unit 3 2 Clonkeen Road, Deansgrange, Blackrock, Dublin, A94  A4e4",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A94 A4e4
Deansgrange Medical Practice,"67 Clonkeen Road, Deansgrange, Blackrock, Dublin, A94  Yc52",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A94 Yc52
Deel Medical Centre,"Main Street, Crossmolina, Crossmolina, Mayo, F26  C6v2",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F26 C6v2
Deenagh Medical Practice,"Killarney Primary Care Centre, Rock Road, Killarney, Kerry, V93  Vw2f",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V93 Vw2f
Deerpark Medical Centre,"Deerpark, Mullinavat, Kilkenny, X91  D886",Location And Directions - Google Maps,Https://Maps.google.com/?Q=X91 D886
Deerpark Medical Centre Ashbourne,"2 Deerpark, Ashbourne, Meath, A84  Ha24",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A84 Ha24
Delvin Health Centre,"Main Street, Delvin, Westmeath, N91  K2h0",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Nckyeura6lkvljwt7
Dental & Medical Clinic Benburb Street,"77 Benburb Street, Dublin, D07  E9de",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D07 E9de
Derrinturn Health Centre,"Ballyshannon, Derrinturn, Kildare, W91  Cf90",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Zqmxbb9gwvm6ypxma
Derrybeg Family Practice,"Stranacorcragh, Derrybeg, Donegal, F92  Yf20",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Pzigbffzuerwnnnu9
Df Medical Centre,"Ardfield House, Lower Main Street, Lucan, Dublin, K78  V8w6",Location And Directions - Google Maps,Https://Maps.google.com/?Q=K78 V8w6
Diamond Surgery,"98 Avenue, Clones, Monaghan, H23  Xv50",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H23 Xv50
Dillon's Cross Medical Centre,"Old Youghal Road, Cork City, Cork, T23  Yxv4",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T23 Yxv4
Dingle Doc,"Gort A Lin, John Street, Dingle, Kerry, V92  Ewr4",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V92 Ewr4
Dingle Medical Centre,"The Mall, Dingle, Kerry, V92  Fc3k",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V92 Fc3k
Doctor365 Ennis,"H.r. Medical Centre, 3 Bank Place, Ennis, Clare, V95  C2yp",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V95 C2yp
Doctor365 Galway,"Unit 3 University Halls, Newcastle Road, Galway City, Galway, H91  Wr66",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H91 Wr66
Doctor 365 Limerick,"38 Clare Street, Limerick, Limerick, V94  Yv22",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Yv22
Doctor365 Mullingar,"13 Market Point, Mullingar, Westmeath, N91  Ed2h",Location And Directions - Google Maps,Https://Maps.google.com/?Q=N91 Ed2h
Doctor365 Waterford,"Williamstown Centre, Ardkeen Village, Waterford City, Waterford, X91  Ya2h",Location And Directions - Google Maps,Https://Maps.google.com/?Q=X91 Ya2h
Doctor J. Winters Surgery,"Church Road, Moycullen, Galway, H91  Dt88",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H91 Dt88
Doctor P Kerrigan,"Cloghanover, Headford, Galway, Co.  Galway",Location And Directions - Google Maps,Https://Maps.google.com/?Q=Co. Galway
Doctors Clinic,"32 Newcastle Road, Newcastle Road, Galway City, Galway, H91  Hyf5",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H91 Hyf5
Dodder Park Medical,"4 Dodder Park Drive, Rathfarnham, Dublin, D14  Vy57",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D14 Vy57
Dodsboro Clinic,"Woodview Court, Tandys Lane, Lucan, Dublin, K78  Y4c9",Location And Directions - Google Maps,Https://Maps.google.com/?Q=K78 Y4c9
Doherty Medical Practice,"41 Sallynoggin Road, Sallynoggin, Dublin, A96  R2t8",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A96 R2t8
Dolmen Family Medical Practice,"Shamrock Plaza, Green Lane, Carlow Town, Carlow, R93  Yf70",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R93 Yf70
Donabate Clinic,"Warrington Mews, Main Street, Donabate, Dublin, K36  Dh34",Location And Directions - Google Maps,Https://Maps.google.com/?Q=K36 Dh34
Donabate Medical Centre,"Unit 4, Portrane Road, Donabate, Dublin, K36  Xv57",Location And Directions - Google Maps,Https://Maps.google.com/?Q=K36 Xv57
Donaghmede Medical Clinic,"Unit 40a Donaghmede Shopping Centre, Grange Road, Donaghmede, Dublin, D13  V9x6",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D13 V9x6
Donegal Health Centre Primary Care Centre,"Waterloo Place, Donegal Town, Donegal, F94  Xva4",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F94 Xva4
Doon Medical Clinic,"Saint Josephs Convent Of Mercy, Lisgaugh, Doon, Limerick, V94  Ef2v",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Ef2v
Doon-Moon Medical Centre,"Saint Nessan's Road, Dooradoyle, Limerick, V94  Fcd1",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Fcd1
Dooradoyle Medical Centre,"Dooradoyle Road, Limerick, Limerick, V94  3h68",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 3h68
Dorman Family Practice,"6 The Mall, Sligo Town, Sligo, F91  Yf1h",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F91 Yf1h
Douglas Medical Centre,"East Douglas Street, Douglas, Cork, T12  A3pc",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T12 A3pc
Dr Achim Schlunke Thomastown,"Primary Care Centre, Lady’s Well Street, Thomastown, Kilkenny, R95  T3fw",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R95 T3fw
Dr Ahmad Ajina,"1a Orwell Park, Dublin 6w, Dublin, D6w  Ad14",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D6w Ad14
Dr Ailin Becker,"Main Street, Ballydehob, Cork, P81  X853",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P81 X853
Dr Alex Khourie,"5 Saint Enda's Drive, Rathfarnham, Dublin, D14  T2p8",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D14 T2p8
Dr Andrew Kelly,"1 Graney Close, Dooradoyle, Limerick, V94  V2tt",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 V2tt
Dr Ann Cronin,"Market Road, Killorglin, Kerry, V93  Ry62",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V93 Ry62
Dr Annemarie Dineen,"Carlton House, 8 Shannon Street, Limerick, Limerick, V94  Ty79",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Ty79
Dr Anne Mcswiney,"Pluckeen, Caherslee, Tralee, Kerry, V92  Aw21",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V92 Aw21
Dr Anne Rowan Gp Surgery,"Coill Rainne, Killarainy, Moycullen, Galway, H91  Tx08",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H91 Tx08
Dr Anvor Amod,"44 Westland Row, Dublin, D02  W274",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D02 W274
Dr Barry Lordan,"Main Street, Ballyduff Upper, Waterford, P51  E0kr",Location And Directions - Google Maps,Https://Maps.app.goo.gl/5jyxt5rzglgxntau7
Dr Barry Lordan,"East Main Street, Lismore, Waterford, P51  Ck70",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P51 Ck70
Dr Bastiaan Van Eynatten,"5 Adelaide Terrace, Wellington Road, Cork City, Cork, T23  Vy84",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T23 Vy84
Dr Bent And Kinsella,"17 Pembroke Cottages, Main Street, Dundrum, Dublin, D14  X2t7",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D14 X2t7
Dr Bhutta Surgery,"34 Mount Carmel Road, Churchtown, Dublin, D14  Tp93",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D14 Tp93
Dr Blanaid Maccurtain,"The Paddocks, Castle Street, Castleconnell, Limerick, V94  Rc56",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 Rc56
Dr Brady's Surgery,"Apartment 2, 12 Camden Street Upper, Dublin, D02  A270",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D02 A270
Dr Brendan Lee,"3 Cormac Street, Tullamore, Offaly, R35  Ck06",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R35 Ck06
Dr Brendan O'regan,"4 Pearse Square, Ballyphehane, Cork, T12  W56r",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T12 W56r
Dr Brennan And Dr Murphy Surgery,"Doctor Roisin Brennan, 36 Market Street, Sligo Town, Sligo, F91  Wfk8",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F91 Wfk8
Dr Brian Kennedy,"Mount Carmel, Tyone, Nenagh, Tipperary, E45  Wf63",Location And Directions - Google Maps,Https://Maps.google.com/?Q=E45 Wf63
Dr Brian Walsh,"Warren House, 16 Warrenhouse Road, Dublin, D13  Tr53",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D13 Tr53
Dr Buckeridge,"325 Blarney Street, Ballinlough, Cork, T23  K59h",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T23 K59h
Dr Byrnes Surgery,"10 Francis Street, Dundalk, Louth, A91  Tp4v",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A91 Tp4v
Dr Byrne Surgery,"Cloughgrace, Cournellan, Borris, Carlow, R95  W8p6",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R95 W8p6
Dr Cahill Surgery,"70 Serpentine Avenue, Sandymount, Dublin, D04  E067",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D04 E067
Dr Cantwell And Dr Spillane,"23 Old Bawn Way, Tallaght, Dublin, D24  Tkp0",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D24 Tkp0
Dr Carmel Guilfoyle General Practice,"Chapel Street, Ballyshannon, Donegal, F94  H2ax",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F94 H2ax
Dr Cathal O'sullivan,"37 Seapoint Avenue, Blackrock, Dublin, A94  X3t8",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A94 X3t8
Dr Catherine King,"172 Sundrive Road, Kimmage, Dublin, D12  V2cy",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D12 V2cy
Dr Catherine Sweeney Family Practice,"Main Street, Ballindine, Mayo, F12  H1r7",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Xackn85a7cbteymk6
Dr Charles Meehan,"Garden Court, Tone Street, Ballina, Mayo, F26  V978",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F26 V978
Dr Ciarin Cairns Medical Practice,"2b Neighbourhood Shopping Centre, Inner Relief Road, Dundalk, Louth, A91  P5pd",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A91 P5pd
Dr Clinton,"Carrowkibbock Lower, Ballycastle, Mayo, F26  R3k4",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Ezenqyz2qxx3oueg9
Dr Coleman's Surgery,"Main Street, Tubbercurry, Sligo, F91  Hx89",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F91 Hx89
Dr Conor Geaney,"Hsecroom Primary Care Centre, Skagh, Limerick, V35  Xt25",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V35 Xt25
Dr Cox,"2 Iveragh Road, Ashtown, Dublin, D09  Fk15",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D09 Fk15
Dr Crosby Raheny General Practice,"443 Howth Road, Donaghmede, Dublin, D05  Y432",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D05 Y432
Dr Cyril Daly,"296 Howth Road, Clontarf East, Dublin, D05  F8w8",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D05 F8w8
Dr David Brunker,"15 The Arches, Ballina, Mayo, F26  Kv63",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F26 Kv63
Dr Deborah Buckley,"Market Green Shopping Centre, Midleton, Cork, P25  Dy83",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P25 Dy83
Dr Deirdre Forde,"1 Ankers Bower, Brideswell, Athlone, Westmeath, N37  Wc62",Location And Directions - Google Maps,Https://Maps.google.com/?Q=N37 Wc62
Dr Denise Nolan,"1 Beaufield Avenue, Maynooth, Kildare, W23  Ny62",Location And Directions - Google Maps,Https://Maps.google.com/?Q=W23 Ny62
Dr Desmond Day,"Dr. Desmond Day, 63 Main Street, Finglas, Dublin, D11  Pdr3",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D11 Pdr3
Dr Devlin Surgery,"Unit 17/18 Ballinakill Shopping Centre, Dunmore Road, Waterford City, Waterford, X91  An25",Location And Directions - Google Maps,Https://Maps.google.com/?Q=X91 An25
Dr Diarmaid Mcloughlin,"3 Circular Road, Swinford, Mayo, F12  W243",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F12 W243
Dr. Donal Sheehan,"Rhode, Rhode, Offaly, R35  Pc95",Location And Directions - Google Maps,Https://Maps.app.goo.gl/3muwrrcyeyfzmh2za
Dr Donncha Ó'cuill,"6 The Orchards, Glasheen Road, Cork City, Cork, T12  K7cp",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T12 K7cp
Dr E And M O'callaghan,"Newtown, Bruff, Limerick, V35  Xk51",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V35 Xk51
Dr Edmund Fitzpatrick,"Fennor, Urlingford, Urlingford, Tipperary, E41  H275",Location And Directions - Google Maps,Https://Maps.google.com/?Q=E41 H275
Dr Edward Harty,"Annaghvaan, Bealadangan, Galway, H91  Dx4f",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H91 Dx4f
Dr Edward O'sullivan,"La Verna, Ishopstown Road, Cork City, Cork, T12  E9pe",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T12 E9pe
Dr E J Cox,"25 Belvedere Road, Dublin, D01  F438",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D01 F438
Dr El-Zayed Hegazy,"4 Chatham Street, Dublin, D02  R223",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D02 R223
Dr Emily O'dowd,"Mount Carmel, Tyone, Nenagh, Tipperary, E45  Wf63",Location And Directions - Google Maps,Https://Maps.google.com/?Q=E45 Wf63
Dr Eric Dilworth,"17a Cherryfield Lawn, Hartstown, Dublin, D15  N729",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D15 N729
Dr Eugene Morgan,"Ballinvarrig, Whitechurch, Cork, T34  Dy79",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T34 Dy79
Dr Fergal Ruane Surgery,"Quay Street, Belmullet, Mayo, F26  Hh60",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F26 Hh60
Dr Fergus Murray,"41 Lower Main Street, Rush, Dublin, K56  R274",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Qu51v8epkdhbvwnj9
Dr Fergus Purcell,"5 Castle Crescent, Clondalkin, Dublin, D22  Y7y8",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D22 Y7y8
Dr F Fahey,"O'connor Square, Tullamore, Offaly, R35  H221",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R35 H221
Dr Fidelma Savage,"Donard House, Novara Avenue, Bray, Wicklow, A98  P6r2",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A98 P6r2
Dr Fiona Molloy,"Culleen, Headford, Galway",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V35 Ep21
Dr Flynn And Lee,"Ballinacurra House, Ballinacurra, Limerick, V35  Ep21",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F12 Aw93
Dr Frances Rowley,"Dublin Road, Swinford, Mayo, F12  Aw93",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D04 X4k6
Dr Gately's Surgery,"Cameo, 119 Strand Road, Sandymount, Dublin, D04  X4k6",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R56 F588
Dr Gerard Caffrey,"Suncroft Road, Brownstown Great, Curragh, Kildare, R56  F588",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 F6ye
Dr Giolla Mccann,"Westbrook House, Caherdavin Cross, Limerick, V94  F6ye",Location And Directions - Google Maps,Https://Maps.google.com/?Q=P75 W665
Dr Glisson Surgery,"North Road, Castletownbere, Cork, P75  W665",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D02 Xv65
Dr Goodwin Mcdonnell,"3 Ely Place Upper, Dublin, D02  Xv65",Location And Directions - Google Maps,Https://Maps.google.com/?Q=R35 X789
Dr Grainne Mchale Surgery,"15 Henry Street, Tullamore, Offaly, R35  X789",Location And Directions - Google Maps,Https://Maps.google.com/?Q=T12 Y862
Dr Greg Murphy,"Chapel Square, Passage West, Cork, T12  Y862",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D09 Y367
Dr Hampston,"128 Collins Avenue, Beaumont, Dublin, D09  Y367",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D22 V2f6
