GP_Name,GP_Address,GP_LocationText,GP_LocationLink
Ardkeen Medical Centre,"Ardkeen Shopping Centre, Dunmore Road, Waterford City, Waterford, X91  Xe0a",Location And Directions - Google Maps,Https://Maps.google.com/?Q=X91 Xe0a
Ardlea Medical Practice,"79 Upper O'connell Street, Ennis, Clare, V95  Pd2n",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V95 Pd2n
Ardmell Clinic,"Upper Mell, Drogheda, Louth, A92  Fk2a",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A92 Fk2a
Ardmore Health Centre,"Rocky Road, Ardmore, Waterford, P35  Tk61",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Kwb261flgwwzc6uy6
Ark Medical Centre,"Unit 1b, Pearse Road, Letterkenny, Donegal, F92  Tn92",Location And Directions - Google Maps,Https://Maps.google.com/?Q=F92 Tn92
Arlington House Medical Centre,"Dublin Road, Oranmore, Galway, H91  Fxd0",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H91 Fxd0
Armagh Road Primary Care Centre,"Armagh Road, Crumlin, Dublin, D12  Yy82",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D12 Yy82
Arranmore Health Centre,"Ballintra, Aranmore, Donegal, F92  Dx08",Location And Directions - Google Maps,Https://Maps.app.goo.gl/Qwe6j3s6yl2nzdvaa
Artane Medical Centre,"2 Mornington Park, Malahide Road, Beaumont, Dublin, D05  Kf96",Location And Directions - Google Maps,Https://Maps.google.com/?Q=D05 Kf96
Arva Medical Centre,"Broad Road, Arva, Cavan, H12  Tw26",Location And Directions - Google Maps,Https://Maps.google.com/?Q=H12 Tw26
Ashbourne Family Practice,"Killegland Walk, Ashbourne, Meath, A84  A627",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A84 A627
Ashbourne Medical Centre,"1st Floor, Killegland Street, Ashbourne, Meath, A84  Tp84",Location And Directions - Google Maps,Https://Maps.google.com/?Q=A84 Tp84
Ashdown Medical Centre,"Courtbrack Avenue, South Circular Road, Limerick City, Limerick, V94  H9kr",Location And Directions - Google Maps,Https://Maps.google.com/?Q=V94 H9kr
